title,year,km,currency,price,location,link,ratio,model,type
Bmw Serie 4 2.0 430i Gran Coupe Sportline 252cv,2020,1650,U$S,52000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-920552020-bmw-serie-4-20-430i-gran-coupe-sportline-252cv-2020-_JM#position=17&search_layout=grid&type=item&tracking_id=8a231528-a52f-4508-a2c2-753cf2074b02,"23,54",430,i
Bmw Serie 2 3.0 240i M Package,2021,1111,U$S,79999,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-921590631-bmw-serie-2-2021-30-240i-m-package-_JM#position=41&search_layout=grid&type=item&tracking_id=e7b70bfe-b7d8-435d-87f2-427a89e0b48b,"22,74",240,i
Bmw Serie 1 135  Xdrive 306 Cv,2021,1111,U$S,85500,Castelar - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-921475114-bmw-m-135-xdrive-306-cv-_JM#position=11&search_layout=grid&type=item&tracking_id=8c8e1f60-78a3-4a46-b6a6-41a3f870cd9e,"21,28",,
Bmw Serie M 3.0 M3 431cv,2020,1000,U$S,95000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-873610288-bmw-serie-m-30-m3-431cv-2020-_JM#position=38&search_layout=grid&type=item&tracking_id=74f8fa62-043c-4006-9185-9ba5eef1423b,"21,26",,
Bmw Serie 1 2.0 T,2020,1400,U$S,72000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-917759513-bmw-serie-1-bmw-m135i-306cv-_JM#position=48&search_layout=grid&type=item&tracking_id=eb64105c-d94b-4307-a60a-5426e290f636,"20,04",,
Bmw Auto Camioneta Chocado Compro Inundado Con Deudas,2013,28000,U$S,4000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-864833551-auto-bmw-audi-135-335-116-118-m3-_JM#position=26&search_layout=grid&type=item&tracking_id=3648eec4-7375-4ed0-ab83-8d61fdd78032,"17,97",,
Bmw Serie 3 2.0 320i Sedan Executive,2011,6900,U$S,16774,Rivadavia - San Juan,https://auto.mercadolibre.com.ar/MLA-914884407-bmw-serie-3-20-320i-sedan-executive-_JM#position=44&search_layout=grid&type=item&tracking_id=e2282057-8367-416f-b289-b0fda0566144,"17,38",320,i
Bmw Serie 1 1.6 116i Active,2009,11111,U$S,10500,Morón - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-908670134-bmw-serie-1-16-116i-active-2009-_JM#position=25&search_layout=grid&type=item&tracking_id=0bc28108-d04c-4f57-b68f-c1564036a831,"17,22",116,i
Bmw 11.6 116i Active Bmw Serie 11.6 116i,2009,11111,U$S,10500,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-908106577-bmw-serie-116-116i-active-2009-_JM#position=14&search_layout=grid&type=item&tracking_id=170d3f83-75bf-4ac6-a8de-6804cea4eee0,"17,22",116,i
Bmw Serie 1 1.6 116i Active,2008,11111,U$S,10500,Morón - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-908151564-bmw-serie-1-16-116i-active-2009-_JM#position=44&search_layout=grid&type=item&tracking_id=fb8742ea-fdfa-4447-b6b8-63e728ce897e,"17,21",116,i
