title,year,km,currency,price,location,link,ratio
Ford Fiesta Kinetic Design 1.6 Se Plus Powershift 120cv,2014,54550,U$S,8064,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-911533866-ford-fiesta-kinectic-se-plus-powershift-automatico-_JM#position=40&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,4.578404841924549
Ford Fiesta Kinetic Design 1.6 S 120cv,2016,26400,U$S,8058,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-916741824-ford-fiesta-kinetic-2016-_JM#position=41&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,9.47674812157314
Ford Fiesta Kinetic Design 1.6 Se 120cv,2016,32000,U$S,8387,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-919633421-ford-fiesta-kinetic-design-16-se-120cv-2016-_JM#position=42&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,7.511625134136163
Ford Fiesta Kinetic Titanium,2011,98000,U$S,5741,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-918019153-ford-fiesta-kinetic-titanium-_JM#position=43&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,3.574361289542816
Ford Fiesta Kinetic Design 1.6 Sedan Se 120cv,2013,96000,U$S,7096,San Miguel - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-921641237-ford-fiesta-kinetic-_JM#position=44&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,2.955009864712514
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2012,138000,U$S,5677,Brandsen - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-916424086-ford-fiesta-kinetic-titanium-_JM#position=45&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,2.5682068248947574
Ford Fiesta S 1.6l Nafta,2016,17100,U$S,7741,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-918101165-ford-fiesta-kinetic-s-16l-nafta-_JM#position=46&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,15.229910456285397
Ford Fiesta Kinetic Design 1.6 Se Plus 120cv,2014,142000,U$S,7090,La Matanza - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-921530720-ford-fiesta-kinetic-design-16-se-plus-120cv-2014-_JM#position=47&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,2.0004370368898865
Ford Fiesta Kinetic Se Plus,2013,77000,U$S,6419,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-921765361-ford-fiesta-kinetic-se-plus-gnc-_JM#position=48&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,4.072730509870252
Ford Fiesta Kinetic Design,2015,42000,U$S,9032,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-917198937-ford-fiesta-kinetic-design-_JM#position=1&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,5.311801425618963
Ford Fiesta Kinetic Design 1.6 Design Sedan 120cv Trend,2011,90000,U$S,5806,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-921959465-ford-fiesta-kd-sedan-trend-2011-_JM#position=2&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,3.848509205036935
Ford Fiesta Kinetic Design 1.6 Design 120cv Trend,2012,106000,U$S,5741,Mar del Plata - Bs.As. Costa Atlántica,https://auto.mercadolibre.com.ar/MLA-919344021-ford-fiesta-kinetic-sedan-5-puertas-2012-_JM#position=3&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,3.3062414345012536
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2011,137000,U$S,5419,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-914426034-ford-fiesta-kd-titanium-liquido-de-contado-_JM#position=4&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,2.7087713815811627
Ford Fiesta 1.6 Kinetic Design,2013,60000,U$S,7741,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-920885169-ford-fiesta-16-kinetic-design-_JM#position=5&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,4.334065366231753
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2012,106000,U$S,5806,Florencio Varela - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-921966384-ford-fiesta-kinetic-design-16-design-120cv-titanium-2012-_JM#position=6&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,3.269227019543868
