title,year,km,currency,price,location,link,ratio
Chevrolet Sonic 1.6 Ltz Mt,2014,75000,U$S,6774,General San Martín - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-920787754-chevrolet-sonic-16-ltz-mt-2014-_JM#position=48&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,3.9641767542564708
Chevrolet Sonic 1.6 Ltz Mt Mx,2016,63000,U$S,8322,General San Martín - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-914883333-chevrolet-sonic-16-ltz-mt-5-puertas-unica-mano-_JM#position=1&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,3.845229512136506
Chevrolet Sonic 1.6 Ltz 4 P,2013,108000,U$S,5903,Guaymallén - Mendoza,https://auto.mercadolibre.com.ar/MLA-920061464-chevrolet-sonic-ltz-16-2013-_JM#position=2&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,3.1575281871741296
Chevrolet Sonic 1.6 4p Lt L/15,2015,106800,U$S,6129,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-914195533-chevrolet-sonic-16-4p-lt-l15-2015-_JM#position=3&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,3.0783229235604295
Chevrolet Sonic 1.6 4p Lt,2015,106800,U$S,6129,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-921657541-chevrolet-sonic-16-4p-lt-2015-_JM#position=4&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,3.0783229235604295
Chevrolet Sonic 1.6 Ltz 5 P,2013,122000,U$S,5580,Ituzaingó - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-919282686-chevrolet-sonic-2013-16-ltz-5-p-_JM#position=5&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,2.956989247311828
Chevrolet Sonic 1.6 Ltz Mt Mx,2015,59000,U$S,7419,Río Cuarto - Córdoba,https://auto.mercadolibre.com.ar/MLA-921349583-chevrolet-sonic-16-ltz-mt-5-ptas-mex-ano-2015-_JM#position=6&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,4.603388916684372
Chevrolet Sonic 1.6 Lt,2014,42300,U$S,8000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-918343135-chevrolet-sonic-16-lt-2014-_JM#position=7&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,5.951536643026005
Chevrolet Sonic 1.6 Ltz 4 P,2012,137000,U$S,5612,Rauch - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-917691739-chevrolet-sonic-2012-16-ltz-4-p-_JM#position=8&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,2.616915785256827
Chevrolet Sonic 1.6 Lt,2013,98000,U$S,5096,La Matanza - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-920401172-chevrolet-sonic-_JM#position=9&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,4.030772434562523
Chevrolet Sonic 1.6 Lt,2015,106800,U$S,6129,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-920203044-chevrolet-sonic-16-lt-4-ptas-2015-_JM#position=10&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,3.0783229235604295
Chevrolet Sonic 1.6 Ltz 5 P,2016,67000,U$S,7741,Pilar - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-919266427-chevrolet-sonic-16-ltz-5-p-2016-_JM#position=11&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,3.887036847798213
Chevrolet Sonic 1.4,2016,50000,U$S,7096,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-918235009-chevrolet-sonic-14-gnc-mod-2016-_JM#position=12&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,5.682074408117249
Chevrolet Sonic 1.6 Ltz 4 P,2013,67000,U$S,5935,Ituzaingó - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-919399044-chevrolet-sonic-ltz-sedan-_JM#position=13&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,5.0623043166643615
Chevrolet Sonic 1.6 Ltz 4 P,2012,82000,U$S,5290,Pergamino - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-918147582-chevrolet-sonic-2012-16-ltz-4-p-_JM#position=14&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,4.638295910369312
Chevrolet Sonic 1.6 Lt Mx 5 P,2014,100000,U$S,4903,Caseros - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-914773210-chevrolet-sonic-16-lt-mx-5-p-2014-_JM#position=15&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,4.107689169895981
Chevrolet Sonic 1.6 Lt Mx 5 P,2016,100000,U$S,6387,Rosario - Santa Fe,https://auto.mercadolibre.com.ar/MLA-918231279-chevrolet-sonic-16-lt-mx-5-p-2016-_JM#position=16&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,3.1564114607797085
Chevrolet Sonic 1.6 Lt,2012,82500,U$S,5258,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-919705958-chevrolet-sonic-16-lt-2012-_JM#position=17&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,4.638242447295319
Chevrolet Sonic 1.6 Ltz Mt Mx,2015,85000,U$S,8064,Cañuelas - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-913245621-chevrolet-sonic-ltz-5ptas-mod-2015-excelente-_JM#position=18&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,2.939717553688142
Chevrolet Sonic 1.6 Ltz 5 P,2016,131000,U$S,7806,Mercedes - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-920839284-chevrolet-sonic-ltz-16n-mt-_JM#position=19&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,1.971472326043971
Chevrolet Sonic 1.6 Lt,2012,92000,U$S,3870,Lomas de Zamora - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-917484394-chevrolet-sonic16-lt-con-gnc-2012-lpt-_JM#position=20&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,5.651050443770363
Chevrolet Sonic 1.6 Lt,2012,113000,U$S,4903,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-903432692-chevrolet-sonic-lt-16n-5-ptas-nafta-2012-_JM#position=21&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,3.6315133050200434
Chevrolet Sonic 1.6 Lt,2012,92000,U$S,5832,Avellaneda - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-914273101-chevrolet-sonic-16-lt-2012-lpt-_JM#position=22&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,3.7499254487982348
Chevrolet Sonic 1.6 Ltz Mt Mx,2015,54000,U$S,6774,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-915173155-chevrolet-sonic-16-ltz-mt-mx-2015-_JM#position=23&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,5.508534811752999
Chevrolet Sonic 1.6 Lt,2012,92000,U$S,5832,Quilmes - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-915398481-chevrolet-sonic-16-lt-2012-lpt-_JM#position=24&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,3.7499254487982348
Chevrolet Sonic 1.6 Lt Mx 5 P,2016,60000,U$S,7096,La Matanza - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-904271913-chevrolet-sonic-lt-_JM#position=25&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,4.735062006764375
Chevrolet Sonic 1.6 Ltz 4 P,2016,62000,U$S,8064,Hurlingham - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-909119052-chevrolet-sonic-16-ltz-4-p-2016-_JM#position=26&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,4.032258064516129
Chevrolet Sonic 1.6 Ltz At Mx 4 P,2016,39000,U$S,8709,La Matanza - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-904271926-chevrolet-sonic-ltz-at-_JM#position=27&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,5.935504385383821
Chevrolet Sonic 1.6 Ltz 4 P,2012,145000,U$S,5000,Merlo - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-914665217-chevrolet-sonic-2012-16-ltz-4-p-cgnc-_JM#position=28&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,2.7751724137931033
Chevrolet Sonic 1.6 Lt Mx 5 P,2015,92000,U$S,6387,La Matanza - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-904269461-chevrolet-sonic-lt-_JM#position=30&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,3.4291801961865476
Chevrolet Sonic 1.6 Ltz 4 P,2016,65000,U$S,7741,Tres de febrero - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-919876688-chevrolet-sonic-16-ltz-4-p-gnc-_JM#position=31&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,4.0066379815766195
Chevrolet Sonic 1.6 Lt,2014,155519,U$S,5812,La Plata - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-910721580-chevrolet-sonic-16-4-ptas-lt-2014-la-plata-777-_JM#position=32&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,2.228180686663509
Chevrolet Sonic 1.6 Lt,2013,100000,U$S,5451,Maipú - Mendoza,https://auto.mercadolibre.com.ar/MLA-910995417-chevrolet-sonic-lt-16-5-ptas-2013-_JM#position=33&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,3.6929003852504128
Chevrolet Sonic 1.6 Ltz 5 P Automática,2012,93000,U$S,6387,Lanús - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-915214106-chevrolet-sonic-2012-16-ltz-5-p-automatica-_JM#position=34&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,3.38725670927674
Chevrolet Sonic 1.6 Ltz 5 P Manual,2012,140000,U$S,4967,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-918076047-chevrolet-sonic-ltz-2012-_JM#position=35&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,2.893382035721476
Chevrolet Sonic 1.6 Ltz 5 P Manual,2012,92000,U$S,5483,San Miguel - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-921531379-chevrolet-sonic-ltz-2012-_JM#position=36&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,3.98861302524007
Chevrolet Sonic 1.6 Ltz At Mx 4 P,2015,105000,U$S,6774,Pilar - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-921838551-chevrolet-sonic-16-ltz-at-mx-4-p-2015-_JM#position=37&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,2.832960760330114
Chevrolet Sonic 1.6 Ltz 4 P,2013,135000,U$S,5483,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-913675603-chevrolet-sonic-2013-16-ltz-4-p-_JM#position=38&search_layout=grid&type=item&tracking_id=91c59cb0-253c-4a82-aa9a-23e2e1a184d7,2.71951689059112
