title,year,km,currency,price,location,link,ratio
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2011,115500,U$S,6129,Lomas de Zamora - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-917775441-ford-fiesta-titanium-ano-2010-autos-usados-pocos-kilometros-_JM#position=12&search_layout=grid&type=item&tracking_id=d2ffb302-9d07-478e-ab8d-6113ffc9e285,2.840798729198142
Ford Fiesta Kinetic Design 1.6 Se 120cv,2014,66000,U$S,6838,General San Martín - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-912100740-ford-fiesta-16-kinectic-design-se-_JM#position=13&search_layout=grid&type=item&tracking_id=d2ffb302-9d07-478e-ab8d-6113ffc9e285,4.462584310493056
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2011,125000,U$S,6129,Tres de febrero - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-919633143-ford-fiesta-kinetic-2011-titanium-_JM#position=14&search_layout=grid&type=item&tracking_id=d2ffb302-9d07-478e-ab8d-6113ffc9e285,2.6248980257790833
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2011,130000,U$S,5741,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-910164515-ford-fiesta-kinetic-design-16-design-120cv-titanium-2011-_JM#position=15&search_layout=grid&type=item&tracking_id=d2ffb302-9d07-478e-ab8d-6113ffc9e285,2.6945185105784306
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2011,108000,U$S,6032,Castelar - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-916355167-ford-fiesta-kinetic-design-16-design-120cv-titanium-2011-_JM#position=16&search_layout=grid&type=item&tracking_id=d2ffb302-9d07-478e-ab8d-6113ffc9e285,3.0869314274486688
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2013,54000,U$S,7225,Lomas de Zamora - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-921767717-ford-fiesta-kinetic-design-16-design-120cv-titanium-2013-_JM#position=17&search_layout=grid&type=item&tracking_id=d2ffb302-9d07-478e-ab8d-6113ffc9e285,5.1595540176855055
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2013,71000,U$S,7419,Lanús - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-920066782-ford-fiesta-kinetic-design-16-design-120cv-titanium-_JM#position=18&search_layout=grid&type=item&tracking_id=d2ffb302-9d07-478e-ab8d-6113ffc9e285,3.821554478508739
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2012,72000,U$S,6387,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-918419349-ford-fiesta-kinetic-design-16-titanium-ano-2012-unico-_JM#position=19&search_layout=grid&type=item&tracking_id=d2ffb302-9d07-478e-ab8d-6113ffc9e285,4.375206582815789
Ford Fiesta Kinetic Design 1.6 Design Sedan 120cv Trend Plus,2013,92000,U$S,5741,Moreno - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-921555081-ford-fiesta-kinetic-design-16-design-sedan-120cv-trend-plus-_JM#position=20&search_layout=grid&type=item&tracking_id=d2ffb302-9d07-478e-ab8d-6113ffc9e285,3.8112584536855416
Ford Fiesta Kinetic Design 1.6 S Plus 120cv,2014,64500,U$S,7032,Almirante Brown - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-921235434-ford-fiesta-kinetic-design-16-s-120cv-_JM#position=21&search_layout=grid&type=item&tracking_id=d2ffb302-9d07-478e-ab8d-6113ffc9e285,4.440387685089646
