title,year,km,currency,price,location,link,ratio,brand,model
Volkswagen Virtus 1.6 Comfortline At,2018,51000,U$S,10115,Córdoba,https://auto.mercadolibre.com.ar/MLA-921568905-vw-virtus-2018-comfortline-automatico-_JM#position=29&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,3.911876169152782,Volkswagen,Virtus
Chevrolet Corsa 1.4 Classic Gls,2009,153000,U$S,2832,Córdoba,https://auto.mercadolibre.com.ar/MLA-921389060-chevrolet-corsa-14-classic-gls-2009-_JM#position=30&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,4.636553303053802,Chevrolet,Corsa
Renault Clio 1.6 Expression,2004,165000,U$S,2947,Córdoba,https://auto.mercadolibre.com.ar/MLA-925641743-renault-clio-16-expression-2004-_JM#position=31&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,4.121294382577043,Renault,Clio
Bmw Serie 5 5.8 545i Premium At,2004,138000,U$S,12716,Colón,https://auto.mercadolibre.com.ar/MLA-925387852-bmw-serie-5-58-545i-premium-at-2004-_JM#position=32&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,1.1420052792100333,Bmw,Serie
Ford Focus Iii 1.6 Sedan S,2014,113000,U$S,6878,General Deheza,https://auto.mercadolibre.com.ar/MLA-925036740-ford-focus-16-4p-s-_JM#position=33&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,2.5913068987434604,Ford,Focus
Fiat Linea 1.8 Absolute 130cv,2011,110100,U$S,4335,Córdoba,https://auto.mercadolibre.com.ar/MLA-922531998-fiat-linea-2011-18-absolute-130cv-_JM#position=34&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,4.213428706418722,Fiat,Linea
Citroën C4 Lounge 1.6 Tendence Hdi 115cv Am16,2016,49100,U$S,9075,Villa Allende,https://auto.mercadolibre.com.ar/MLA-922028775-citron-c4-lounge-2016-16-tendence-hdi-115cv-am16-_JM#position=35&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,4.52441467068388,Citroën,C4
Bmw Serie 3 3.0 330i Executive Steptro.,2006,150000,U$S,11500,Unión,https://auto.mercadolibre.com.ar/MLA-923794027-bmw-serie-3-30-330i-executive-steptro-2006-_JM#position=36&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,1.1628985507246377,Bmw,Serie
Volkswagen Vento 2.0 Tsi Gli 211cv App Connect + Nav,2018,30000,U$S,23121,Córdoba,https://auto.mercadolibre.com.ar/MLA-926885272-volkswagen-vento-20-tsi-gli-211cv-app-connect-nav-2018-_JM#position=37&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,2.909332064645416,Volkswagen,Vento
Mercedes-benz Clase B 1.3 163cv Progressive,2020,885,U$S,31791,Villa María,https://auto.mercadolibre.com.ar/MLA-921174843-mercedes-benz-clase-b-13-163cv-progressive-_JM#position=38&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,71.79660519348919,Mercedes-benz,Clase
Bmw Serie 3 2.0 328i Sedán Sport 245cv,2013,134000,U$S,21900,Córdoba,https://auto.mercadolibre.com.ar/MLA-927540825-bmw-serie-3-20-328i-sedan-sport-245cv-2013-_JM#position=39&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,0.6859537926804334,Bmw,Serie
Volkswagen Bora 1.8 Highline T 180cv,2010,88000,U$S,6647,Córdoba,https://auto.mercadolibre.com.ar/MLA-925535599-volkswagen-bora-18-highline-t-180cv-2010-_JM#position=40&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,3.4362733700780943,Volkswagen,Bora
Chevrolet Prisma 1.4 Lt 98cv,2016,81000,U$S,5664,Marcos Juárez - Marcos Juárez,https://auto.mercadolibre.com.ar/MLA-924696106-chevrolet-prisma-lt-_JM#position=41&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,4.394224733207784,Chevrolet,Prisma
Toyota Corolla 1.8 Se-g At,2009,178000,U$S,5664,Alberdi - Córdoba,https://auto.mercadolibre.com.ar/MLA-924189236-toyota-corolla-seg-cordoba-_JM#position=42&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,1.9926759982225608,Toyota,Corolla
Fiat Brava 1.6,2001,235000,U$S,1849,Villa María,https://auto.mercadolibre.com.ar/MLA-924187684-fiat-brava-16-2001-_JM#position=43&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,4.60513446026029,Fiat,Brava
Volkswagen Vento 2.0 Sportline Tsi 200cv Bi-xenon,2014,170000,U$S,11271,Valle Escondido - Córdoba,https://auto.mercadolibre.com.ar/MLA-922293068-volkswagen-vento-20-sportline-tsi-200cv-bi-xenon-_JM#position=44&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,1.0511098237538294,Volkswagen,Vento
Honda Civic 1.8 Exs Mt 140cv,2015,87500,U$S,10115,Santa María,https://auto.mercadolibre.com.ar/MLA-919089302-honda-civic-18-exs-mt-140cv-2015-_JM#position=45&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,2.276675376032766,Honda,Civic
Mercedes-benz Clase C 1.8 C250 Style,2017,69000,U$S,33400,Córdoba,https://auto.mercadolibre.com.ar/MLA-918881010-mercedes-benz-clase-c-2017-c200-avantgard-211-hp-at-_JM#position=46&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,0.8752061095200903,Mercedes-benz,Clase
Honda Accord 2.4 Ex-l At G8,2012,91000,U$S,9248,Córdoba,https://auto.mercadolibre.com.ar/MLA-918760134-honda-accord-24-ex-l-at-g8-2012-_JM#position=47&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,2.3907753146507473,Honda,Accord
Toyota Corolla 1.8 Xei Mt Pack,2010,186000,U$S,6358,Villa Allende,https://auto.mercadolibre.com.ar/MLA-915961262-toyota-corolla-18-xei-mt-pack-2010-_JM#position=48&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,1.6996620970278744,Toyota,Corolla
Fiat Linea 1.9 Essence,2011,152000,U$S,4508,La Calera,https://auto.mercadolibre.com.ar/MLA-927176703-fiat-linea-essence-_JM#position=1&search_layout=grid&type=item&tracking_id=290bdbf0-1a34-4432-9258-43f28011756a,2.9348409844486993,Fiat,Linea
Citroën C4 Lounge 1.6 Hdi 115 Feel Pack 10 Años,2017,67000,U$S,10104,Córdoba,https://auto.mercadolibre.com.ar/MLA-927121004-citron-c4-lounge-2017-16-hdi-115-feel-pack-10-anos-_JM#position=2&search_layout=grid&type=item&tracking_id=290bdbf0-1a34-4432-9258-43f28011756a,2.979461363018636,Citroën,C4
Audi A4 2.0 Fsi Quattro 252cv,2018,41000,U$S,46500,Villa María,https://auto.mercadolibre.com.ar/MLA-926849960-audi-a4-20-fsi-quattro-252cv-2018-_JM#position=3&search_layout=grid&type=item&tracking_id=290bdbf0-1a34-4432-9258-43f28011756a,1.058484133228429,Audi,A4
Fiat Cronos 1.3 Gse Drive Pack Conectividad,2021,1000,U$S,9069,Ameghino Norte - Córdoba,https://auto.mercadolibre.com.ar/MLA-925674516-fiat-cronos-13-my-21-drive-pack-conectividad-_JM#position=4&search_layout=grid&type=item&tracking_id=290bdbf0-1a34-4432-9258-43f28011756a,222.84706141801743,Fiat,Cronos
Toyota Corolla 1.8 Se-g Cvt 140cv,2016,139000,U$S,12601,Cosquín,https://auto.mercadolibre.com.ar/MLA-924768895-toyota-corolla-2016-18-se-g-cvt-140cv-_JM#position=5&search_layout=grid&type=item&tracking_id=290bdbf0-1a34-4432-9258-43f28011756a,1.1509877884534687,Toyota,Corolla
Volkswagen Vento 2.0 T Fsi Sportline Dsg,2008,140000,U$S,6936,Cerro Chico - Córdoba,https://auto.mercadolibre.com.ar/MLA-923822329-volkswagen-vento-sportline-_JM#position=6&search_layout=grid&type=item&tracking_id=290bdbf0-1a34-4432-9258-43f28011756a,2.06788597792058,Volkswagen,Vento
Mercedes-benz Clase E 3.2 E320,1996,320000,U$S,7514,Villa Allende,https://auto.mercadolibre.com.ar/MLA-923452690-mercedes-benz-clase-e-32-e320-_JM#position=7&search_layout=grid&type=item&tracking_id=290bdbf0-1a34-4432-9258-43f28011756a,0.8301171147191908,Mercedes-benz,Clase
